Student,LPIPS,SSIM
109820011.png,0.38651368021965027,0.5851730173417652
110820054.png,0.4038040041923523,0.6224458964006657
110820014.png,0.4322103261947632,0.5980021775524911
112598018.png,0.4395453631877899,0.5907161479019396
110820043.png,0.4618281126022339,0.5957890382988753
110820052.png,0.4696091413497925,0.49724983657564675
110820001.png,0.4702465534210205,0.4973062872404659
109820017.png,0.5324414968490601,0.5385303333232964
